Full key,en,pl,hu,fr,Namespace,Group,Key,Source file
*::*.callback.returnToPrimaryAccount,Open selected account,,Kiválasztott számlához,Ouvrir le compte sélectionné,*,*,callback.returnToPrimaryAccount,{locale}.json
*::*.callback.returnToSecondaryAccount,Open target account,,Cél számlához,Ouvrir le compte cible,*,*,callback.returnToSecondaryAccount,{locale}.json
*::*.callback.showTransaction,Show this transaction,,Mutasd ezt a tranzakciót,Afficher cette transaction,*,*,callback.showTransaction,{locale}.json
*::*.click here to request another,click here to request another,,kattints ide egy másik kéréséhez,cliquez ici pour en demander un autre,*,*,click here to request another,{locale}.json
*::*.commission,commission,,jutalék,commission,*,*,commission,{locale}.json
*::*.dividend,dividend,,osztalék,dividende,*,*,dividend,{locale}.json
*::*.inactive,inactive,,inaktív,inactif,*,*,inactive,{locale}.json
*::*.investment,investment,,befektetés,investissement,*,*,investment,{locale}.json
*::*.investment.requirement.currency,"Before creating an investment, please add at least one currency. Investments must have a currency assigned.","Befektetés létrehozása előtt kérjük, adjon hozzá legalább egy pénznemet. A befektetésekhez hozzá kell rendelni egy pénznemet.","Avant de créer un investissement, veuillez ajouter au moins une devise. Tout investissement doit être associé à une devise.",*,*,investment.requirement.currency,{locale}.json
*::*.investment.requirement.investmentGroup,"Before creating an investment, please add at least one investment group. E.g. stocks, bonds, etc. Investment groups help to organize your investments.","Befektetés létrehozása előtt kérjük, adjon hozzá legalább egy befektetési csoportot. Pl. részvények, kötvények stb. A befektetési csoportok segítenek a befektetések rendszerezésében.","Avant de créer un investissement, veuillez ajouter au moins un groupe d'investissement (par exemple, actions, obligations, etc.). Les groupes d'investissement permettent d'organiser vos placements.",*,*,investment.requirement.investmentGroup,{locale}.json
*::*.price,price,,ár,prix,*,*,price,{locale}.json
*::*.quantity,quantity,,mennyiség,quantité,*,*,quantity,{locale}.json
*::*.sandbox.login.credentials,<strong>Email:</strong> demo@yaffa.cc <strong>Password:</strong> demo,<strong>Email-cím:</strong> demo@yaffa.cc <strong>Jelszó:</strong> demo,<strong>Courriel:</strong> demo@yaffa.cc <strong>Mot de passe:</strong> demo,*,*,sandbox.login.credentials,{locale}.json
*::*.sandbox.login.fill,Login with demo credentials,,Belépés a demo fiókba,Connectez-vous avec les identifiants de démonstration,*,*,sandbox.login.fill,{locale}.json
*::*.sandbox.login.info,You can create a new account for testing by registering. Feel free to use a disposable email address or fake credential. You can also explore existing demo data using the credentials below.,Regisztrálj és készíts egy saját fiókot a teszteléshez. Használj eldobható email címet és bármilyen kitalált adatot. Ismerd meg a demo adatokat az alábbi belépési adatokkal.,Vous pouvez créer un nouveau compte de test en vous inscrivant. N'hésitez pas à utiliser une adresse e-mail jetable ou de faux identifiants. Vous pouvez également explorer les données de démonstration existantes en utilisant les identifiants ci-dessous.,*,*,sandbox.login.info,{locale}.json
*::*.sandbox.reset.info,"Until that, feel free to look around and make any changes.","A törlésig nézz körül és próbálj ki bármilyen funkciót.","En attendant, n'hésitez pas à regarder autour de vous et à apporter des modifications.",*,*,sandbox.reset.info,{locale}.json
*::*.sandbox.reset.timer,The data in this sandbox environment is regularly cleared. Time until next reset: :days days and :hours hours.,"A teszt környezetben az adatok rendszeresen visszaállításra kerülnek. Idő a következő törlésig :days nap, :hours óra.",Les données de cet environnement de test sont régulièrement effacées. Prochaine réinitialisation :days jours et :hours heures.,*,*,sandbox.reset.timer,{locale}.json
*::*.schedule count,schedule count,,ütemezett számláló,nombre de jours de planification,*,*,schedule count,{locale}.json
*::*.schedule end date,schedule end date,,ütemezés befejezési dátuma,date de fin prévue,*,*,schedule end date,{locale}.json
*::*.schedule frequency,schedule frequency,,menetrend gyakorisága,fréquence de planification,*,*,schedule frequency,{locale}.json
*::*.schedule inflation,schedule inflation,,ütemterv infláció,inflation des horaires,*,*,schedule inflation,{locale}.json
*::*.schedule interval,schedule interval,,ütemezési intervallum,intervalle de planification,*,*,schedule interval,{locale}.json
*::*.schedule next date,schedule next date,,következő dátum ütemezése,programmer la prochaine date,*,*,schedule next date,{locale}.json
*::*.schedule start date,schedule start date,,ütemezés kezdési dátuma,date de début prévue,*,*,schedule start date,{locale}.json
*::*.standard,standard,,általános,standard,*,*,standard,{locale}.json
*::*.tax,tax,,adó,impôt,*,*,tax,{locale}.json
*::*.transaction,transaction,,tranzakció,transaction,*,*,transaction,{locale}.json
*::*.transaction.requirement.account,"Before creating a transaction, please add at least one account. This can be a bank account, a wallet, etc.","Tranzakció létrehozása előtt kérjük, adjon hozzá legalább egy számlát. Ez lehet bankszámla, pénztárca stb.","Avant de créer une transaction, veuillez ajouter au moins un compte. Il peut s'agir d'un compte bancaire, d'un portefeuille électronique, etc.",*,*,transaction.requirement.account,{locale}.json
*::*.transactions,transactions,,tranzakciók,transactions,*,*,transactions,{locale}.json
auth.failed,Invalid login credentials.,,Helytelen belépési adatok.,Identifiants de connexion invalides.,,auth,failed,{locale}/auth.php
auth.password,,,,,,auth,password,{locale}/auth.php
auth.throttle,,,,,,auth,throttle,{locale}/auth.php
default_assets.account_groups.bank_accounts,Bank accounts,,Bankszámlák,Comptes bancaires,,default_assets,account_groups.bank_accounts,{locale}/default_assets.php
default_assets.account_groups.cash,Cash,,Készpénz,Espèces,,default_assets,account_groups.cash,{locale}/default_assets.php
default_assets.account_groups.credits,Credits,,Hitelek,Crédits,,default_assets,account_groups.credits,{locale}/default_assets.php
default_assets.account_groups.loans,Loans,,Kölcsönök,Prêts,,default_assets,account_groups.loans,{locale}/default_assets.php
default_assets.account_groups.savings_and_investments,Savings and investments,,Megtakarítások és befektetések,Épargne et investissements,,default_assets,account_groups.savings_and_investments,{locale}/default_assets.php
default_assets.accounts.cash_reserve,Cash reserve,,Készpénztartalék,Réserve de trésorerie,,default_assets,accounts.cash_reserve,{locale}/default_assets.php
default_assets.accounts.credit_card,Credit card,,Hitelkártya,Carte de crédit,,default_assets,accounts.credit_card,{locale}/default_assets.php
default_assets.accounts.investment_account,Investment account,,Befektetési számla,compte d'investissement,,default_assets,accounts.investment_account,{locale}/default_assets.php
default_assets.accounts.loan,Loan,,Kölcsön,Prêt,,default_assets,accounts.loan,{locale}/default_assets.php
default_assets.accounts.other_bank_account,Other bank account,,Más bankszámla,Autre compte bancaire,,default_assets,accounts.other_bank_account,{locale}.php
default_assets.accounts.primary_bank_account,Primary bank account,,Elsődleges bankszámla,Compte bancaire principal,,default_assets,accounts.primary_bank_account,{locale}/default_assets.php
default_assets.accounts.wallet,Wallet,,Pénztárca,Portefeuille,,default_assets,accounts.wallet,{locale}/default_assets.php
default_assets.categories.bonuses,Bonuses,,Bónuszok,Bonus,,default_assets,categories.bonuses,{locale}/default_assets.php
default_assets.categories.books_and_supplies,Books and supplies,,Könyvek és kellékek,Livres et fournitures,,default_assets,categories.books_and_supplies,{locale}/default_assets.php
default_assets.categories.car_insurance,Car insurance,,Autó biztosítás,Assurance auto,,default_assets,categories.car_insurance,{locale}/default_assets.php
default_assets.categories.car_payments,Car payments,,Autó kiadások,Mensualités de voiture,,default_assets,categories.car_payments,{locale}/default_assets.php
default_assets.categories.child_allowance,Child allowance,,Gyerektámogatás,Allocation familiale,,default_assets,categories.child_allowance,{locale}/default_assets.php
default_assets.categories.clothing,Clothing,,Ruházat,Vêtements,,default_assets,categories.clothing,{locale}/default_assets.php
default_assets.categories.courses_and_training,Courses and training,,Tanfolyamok és képzések,Cours et formations,,default_assets,categories.courses_and_training,{locale}/default_assets.php
default_assets.categories.credit_card,Credit card,,Hitelkártya,Carte de crédit,,default_assets,categories.credit_card,{locale}/default_assets.php
default_assets.categories.debt_repayment,Debt repayment,,Adósság visszafizetés,Remboursement de la dette,,default_assets,categories.debt_repayment,{locale}/default_assets.php
default_assets.categories.dining_out,Dining out,,Étterem,Dîner au restaurant,,default_assets,categories.dining_out,{locale}/default_assets.php
default_assets.categories.disability_insurance,Disability insurance,,Rokkantbiztosítás,Assurance invalidité,,default_assets,categories.disability_insurance,{locale}/default_assets.php
default_assets.categories.doctor_visits,Doctor visits,,Orvosok,Visites chez le médecin,,default_assets,categories.doctor_visits,{locale}/default_assets.php
default_assets.categories.education_and_development,Education and development,,Oktatás és fejlesztés,Éducation et développement,,default_assets,categories.education_and_development,{locale}/default_assets.php
default_assets.categories.electricity,Electricity,,Villany,Électricité,,default_assets,categories.electricity,{locale}/default_assets.php
default_assets.categories.entertainment,Entertainment,,Szórakozás,Divertissement,,default_assets,categories.entertainment,{locale}/default_assets.php
default_assets.categories.entertainment_and_leisure,Entertainment and leisure,,Szórakozás és szabadidő,Divertissements et loisirs,,default_assets,categories.entertainment_and_leisure,{locale}.php
default_assets.categories.events,Events,,Események,Événements,,default_assets,categories.events,{locale}/default_assets.php
default_assets.categories.fines,Fines,,Pénzbírságok,Amendes,,default_assets,categories.fines,{locale}/default_assets.php
default_assets.categories.food,Food,,Élelmiszer,Nourriture,,default_assets,categories.food,{locale}/default_assets.php
default_assets.categories.freelance_work,Freelance work,,Szabadúszó munka,Travail indépendant,,default_assets,categories.freelance_work,{locale}/default_assets.php
default_assets.categories.fuel,Fuel,,Üzemanyag,Carburant,,default_assets,categories.fuel,{locale}/default_assets.php
default_assets.categories.gas_and_heating,Gas and heating,,Gáz és fűtés,Gaz et chauffage,,default_assets,categories.gas_and_heating,{locale}/default_assets.php
default_assets.categories.gifts_and_donations,Gifts and donations,,Ajándékok és adományok,Dons et donations,,default_assets,categories.gifts_and_donations,{locale}/default_assets.php
default_assets.categories.government_benefits,Government benefits,,Kormányzati juttatások,Avantages gouvernementaux,,default_assets,categories.government_benefits,{locale}/default_assets.php
default_assets.categories.groceries,Groceries,,Élelmiszerboltok,Épiceries,,default_assets,categories.groceries,{locale}/default_assets.php
default_assets.categories.health_insurance,Health insurance,,Egészségbiztosítás,Assurance maladie,,default_assets,categories.health_insurance,{locale}/default_assets.php
default_assets.categories.healthcare,Healthcare,,Egészségügy,Soins de santé,,default_assets,categories.healthcare,{locale}/default_assets.php
default_assets.categories.hobbies_and_activities,Hobbies and activities,,Hobbik és kikapcsolódás,Loisirs et activités,,default_assets,categories.hobbies_and_activities,{locale}.php
default_assets.categories.home_improvements,Home improvements,,Lakberendezés,Améliorations domiciliaires,,default_assets,categories.home_improvements,{locale}/default_assets.php
default_assets.categories.home_insurance,Home insurance,,Lakásbiztosítás,Assurance habitation,,default_assets,categories.home_insurance,{locale}/default_assets.php
default_assets.categories.household_products,Household products,,Háztartási termékek,Produits ménagers,,default_assets,categories.household_products,{locale}/default_assets.php
default_assets.categories.housing,Housing,,Lakhatás,Logement,,default_assets,categories.housing,{locale}/default_assets.php
default_assets.categories.insurance,Insurance,,Biztosítás,Assurance,,default_assets,categories.insurance,{locale}/default_assets.php
default_assets.categories.internet_cable,Internet and cable,,Internet és TV,Internet et câble,,default_assets,categories.internet_cable,{locale}/default_assets.php
default_assets.categories.legal_fees,Legal fees,,Ügyvédi költségek,Frais juridiques,,default_assets,categories.legal_fees,{locale}/default_assets.php
default_assets.categories.life_insurance,Life insurance,,Életbiztosítás,Assurance-vie,,default_assets,categories.life_insurance,{locale}/default_assets.php
default_assets.categories.loans,Loans,,Hitelek,Prêts,,default_assets,categories.loans,{locale}/default_assets.php
default_assets.categories.main_job,Main job,,Fő munka,Emploi principal,,default_assets,categories.main_job,{locale}/default_assets.php
default_assets.categories.maintenance_and_repairs,Maintenance and repairs,,Karbantartás és javítás,Entretien et réparations,,default_assets,categories.maintenance_and_repairs,{locale}.php
default_assets.categories.medications,Medications,,Gyógyszerek,Médicaments,,default_assets,categories.medications,{locale}/default_assets.php
default_assets.categories.miscellaneous,Miscellaneous,,Egyéb,Divers,,default_assets,categories.miscellaneous,{locale}/default_assets.php
default_assets.categories.mortgage_overpayments,Mortgage overpayments,,Jelzáloghitel túlfizetések,Remboursements hypothécaires en trop,,default_assets,categories.mortgage_overpayments,{locale}.php
default_assets.categories.other_income,Other income,,Egyéb bevétel,Autres revenus,,default_assets,categories.other_income,{locale}/default_assets.php
default_assets.categories.parking,Parking,,Parkolás,Parking,,default_assets,categories.parking,{locale}/default_assets.php
default_assets.categories.personal_care,Personal care,,Személyes higiénia,Soins personnels,,default_assets,categories.personal_care,{locale}/default_assets.php
default_assets.categories.personal_loans,Personal loans,,Személyi kölcsönök,Prêts personnels,,default_assets,categories.personal_loans,{locale}/default_assets.php
default_assets.categories.pet_care,Pet care,,Kisállat gondozás,Soins des animaux de compagnie,,default_assets,categories.pet_care,{locale}/default_assets.php
default_assets.categories.property_taxes,Property taxes,,Ingatlanadók,Impôts fonciers,,default_assets,categories.property_taxes,{locale}/default_assets.php
default_assets.categories.public_transport,Public transport,,Tömegközlekedés,Transports en commun,,default_assets,categories.public_transport,{locale}.php
default_assets.categories.rent,Rent,,Bérlés,Louer,,default_assets,categories.rent,{locale}/default_assets.php
default_assets.categories.rent_and_mortgage,Rent and Mortgage,,Bérlet és jelzálog,Loyer et hypothèque,,default_assets,categories.rent_and_mortgage,{locale}.php
default_assets.categories.rental_income,Rental income,,Bérleti díjak,Revenus locatifs,,default_assets,categories.rental_income,{locale}.php
default_assets.categories.repairs_maintenance,Repairs and maintenance,,Javítások és karbantartások,Réparations et entretien,,default_assets,categories.repairs_maintenance,{locale}.php
default_assets.categories.salary,Salary,,Fizetés,Salaire,,default_assets,categories.salary,{locale}/default_assets.php
default_assets.categories.school_and_university_fees,School and university fees,,Iskolai és egyetemi díjak,Frais de scolarité et d'université,,default_assets,categories.school_and_university_fees,{locale}.php
default_assets.categories.side_job,Side job,,Mellékállás,Travail à temps partiel,,default_assets,categories.side_job,{locale}/default_assets.php
default_assets.categories.social_assistance,Social assistance,,Szociális juttatás,Aide sociale,,default_assets,categories.social_assistance,{locale}.php
default_assets.categories.student_loans,Student loans,,Diákhitel,Prêts étudiants,,default_assets,categories.student_loans,{locale}/default_assets.php
default_assets.categories.subscriptions,Subscriptions,,Előfizetések,Abonnements,,default_assets,categories.subscriptions,{locale}/default_assets.php
default_assets.categories.transportation,Transportation,,Közlekedés,Transport,,default_assets,categories.transportation,{locale}/default_assets.php
default_assets.categories.utilities,Utilities,,Közművek,Services publics,,default_assets,categories.utilities,{locale}/default_assets.php
default_assets.categories.vacation_and_travel,Vacation and travel,,Nyaralás és utazás,Vacances et voyages,,default_assets,categories.vacation_and_travel,{locale}.php
default_assets.categories.vehicle_maintenance,Vehicle maintenance,,Járművek karbantartása,Entretien des véhicules,,default_assets,categories.vehicle_maintenance,{locale}.php
default_assets.categories.vision_and_dental_care,Vision and dental care,,Szemészet és fogászat,Soins de la vue et soins dentaires,,default_assets,categories.vision_and_dental_care,{locale}.php
default_assets.categories.water,Water,,Víz,Eau,,default_assets,categories.water,{locale}/default_assets.php
default_assets.categories.water_sewer,Water and sewer,,Víz és csatorna,Eau et assainissement,,default_assets,categories.water_sewer,{locale}/default_assets.php
default_assets.investment_groups.bonds,Bonds,,Kötvények,Obligations,,default_assets,investment_groups.bonds,{locale}/default_assets.php
default_assets.investment_groups.other,Other,,Egyéb,Autre,,default_assets,investment_groups.other,{locale}/default_assets.php
default_assets.investment_groups.stocks,Stocks,,Részvények,Actions,,default_assets,investment_groups.stocks,{locale}/default_assets.php
default_assets.tags.todo,TODO,,TENNIVALÓ,FAIRE,,default_assets,tags.todo,{locale}/default_assets.php
pagination.next,,,Következő &raquo;,Suivant &raqu;,,pagination,next,{locale}/pagination.php
pagination.previous,,,&laquo; Előző,&laquo;Précédent,,pagination,previous,{locale}/pagination.php
passwords.reset,,,,,,,passwords,reset,{locale}/passwords.php
passwords.sent,,,,,,,passwords,sent,{locale}/passwords.php
passwords.throttled,,,,,,,passwords,throttled,{locale}/passwords.php
passwords.token,,,,,,,passwords,token,{locale}/passwords.php
passwords.user,,,,,,,passwords,user,{locale}/passwords.php
validation.accepted,The :attribute must be accepted.,,A(z) :attribútumot el kell fogadni.,L'attribut :attribute doit être accepté.,,validation,accepted,{locale}/validation.php
validation.accepted_if,,"Az :attribute mezőt el kell fogadni, ha az :other értéke :value.",Le champ :attribute doit être accepté lorsque :other est :value.,,validation,accepted_if,{locale}/validation.php
validation.active_url,The :attribute is not a valid URL.,,A(z) :attribute nem érvényes URL-cím.,L'attribut :attribute n'est pas une URL valide.,,validation,active_url,{locale}/validation.php
validation.after,The :attribute must be a date after :date.,,A(z) :attribute értékének a :date utáni dátumnak kell lennie.,L'attribut :attribute doit être une date postérieure à :date.,,validation,after,{locale}/validation.php
validation.after_or_equal,The :attribute must be a date after or equal to :date.,,A(z) :attribute dátumának a :date paraméternél későbbinek vagy azzal egyenlőnek kell lennie.,L'attribut :attribute doit être une date postérieure ou égale à :date.,,validation,after_or_equal,{locale}/validation.php
validation.alpha,The :attribute may only contain letters.,,Az :attribútum csak betűket tartalmazhat.,L'attribut :attribute ne peut contenir que des lettres.,,validation,alpha,{locale}/validation.php
validation.alpha_dash,"The :attribute may only contain letters, numbers, dashes and underscores.","Az :attribute csak betűket, számokat, kötőjeleket és aláhúzásjeleket tartalmazhat.","L'attribut :attribute ne peut contenir que des lettres, des chiffres, des tirets et des traits de soulignement.",,validation,alpha_dash,{locale}.php
validation.alpha_num,The :attribute may only contain letters and numbers.,,Az :attribútum csak betűket és számokat tartalmazhat.,L'attribut :attribute ne peut contenir que des lettres et des chiffres.,,validation,alpha_num,{locale}.php
validation.any_of,,,A(z) :attribute mező érvénytelen.,Le champ :attribute est invalide.,,validation,any_of,{locale}.php
validation.array,The :attribute must be an array.,,A :attribute-nak tömbnek kell lennie.,L'attribut :attribute doit être un tableau.,,validation,array,{locale}.php
validation.attributes.config.opening_balance,opening balance,,nyitó egyenleg,solde d'ouverture,,validation,attributes.config.opening_balance,{locale}.php
validation.attributes.name,name,,név,nom,,validation,attributes.name,{locale}.php
validation.attributes.tos,terms of service,,felhasználási feltételek,conditions d'utilisation,,validation,attributes.tos,{locale}.php
validation.before,The :attribute must be a date before :date.,,A(z) :attribute paraméternek a(z) :date előtti dátumnak kell lennie.,L'attribut :attribute doit être une date antérieure à :date.,,validation,before,{locale}.php
validation.before_or_equal,The :attribute must be a date before or equal to :date.,,A(z) :attribute dátumának a :date paraméternél korábbinak vagy azzal egyenlőnek kell lennie.,L'attribut :attribute doit être une date antérieure ou égale à :date.,,validation,before_or_equal,{locale}.php
validation.between.array,The :attribute must have between :min and :max items.,,Az :attribute tulajdonságnak :min és :max közötti számú elemet kell tartalmaznia.,L'attribut :attribute doit avoir entre :min et :max éléments.,,validation,between.array,{locale}.php
validation.between.file,The :attribute must be between :min and :max kilobytes.,,A(z) :attribute méretének :min és :max kilobájt között kell lennie.,L'attribut :attribute doit être compris entre :min et :max kilobytes.,,validation,between.file,{locale}.php
validation.between.numeric,The :attribute must be between :min and :max.,,A(z) :attribute értékének :min és :max között kell lennie.,L'attribut :attribute doit être compris entre :min et :max.,,validation,between.numeric,{locale}.php
validation.between.string,The :attribute must be between :min and :max characters.,,A(z) :attribute paraméternek :min és :max karakterek között kell lennie.,L'attribut :attribute doit comporter entre :min et :max caractères.,,validation,between.string,{locale}.php
validation.boolean,,,Az :attribute mezőnek igaznak vagy hamisnak kell lennie.,Le champ :attribute doit être vrai ou faux.,,validation,boolean,{locale}.php
validation.can,,,A(z) :attribute mező nem engedélyezett értéket tartalmaz.,Le champ :attribute contient une valeur non autorisée.,,validation,can,{locale}.php
validation.confirmed,The :attribute confirmation does not match.,,A(z) :attribute megerősítése nem egyezik.,La confirmation de l'attribut :attribute ne correspond pas.,,validation,confirmed,{locale}.php
validation.contains,,,A(z) :attribute mezőből hiányzik egy kötelező érték.,Le champ :attribute ne contient pas de valeur obligatoire.,,validation,contains,{locale}.php
validation.current_password,,,A jelszó helytelen.,,,validation,current_password,{locale}.php
validation.date,The :attribute is not a valid date.,,A(z) :attribute nem érvényes dátum.,L'attribut :attribute ne correspond pas à une date valide.,,validation,date,{locale}.php
validation.date_equals,The :attribute must be a date equal to :date.,,A(z) :attribute paraméternek egy :date paraméterrel megegyező dátumnak kell lennie.,L'attribut :attribute doit être une date égale à :date.,,validation,date_equals,{locale}.php
validation.date_format,The :attribute does not match the format :format.,,A(z) :attribute nem egyezik a(z) :format formátummal.,L'attribut :attribute ne correspond pas au format :format.,,validation,date_format,{locale}.php
validation.decimal,,,Az :attribute mezőben :decimal tizedesjegyeknek kell lenniük.,Le champ :attribute doit avoir :decimal décimales.,,validation,decimal,{locale}.php
validation.declined,,,Az :attribute mezőt el kell utasítani.,Le champ :attribute doit être refusé.,,validation,declined,{locale}.php
validation.declined_if,,"Az :attribute mezőt el kell utasítani, ha az :other értéke :value.",Le champ :attribute doit être refusé lorsque :other est :value.,,validation,declined_if,{locale}.php
validation.different,The :attribute and :other must be different.,,A(z) :attribute és a(z) :other paramétereknek eltérőnek kell lenniük.,Les attributs :attribute et :other doivent être différents.,,validation,different,{locale}.php
validation.digits,The :attribute must be :digits digits.,,A(z) :attribute értékének :digits számjegyből kell állnia.,L'attribut :attribute doit être :digits chiffres.,,validation,digits,{locale}.php
validation.digits_between,The :attribute must be between :min and :max digits.,,A(z) :attribute paraméternek :min és :max számjegyek között kell lennie.,L'attribut :attribute doit être compris entre :min et :max chiffres.,,validation,digits_between,{locale}.php
validation.dimensions,The :attribute has invalid image dimensions.,,A(z) :attribute érvénytelen képméretekkel rendelkezik.,L'attribut :attribute a des dimensions d'image invalides.,,validation,dimensions,{locale}.php
validation.distinct,,,A(z) :attribute mezőben ismétlődő érték található.,Le champ :attribute contient une valeur en double.,,validation,distinct,{locale}.php
validation.doesnt_contain,,,Az :attribute mező nem tartalmazhatja a következők egyikét sem: :values.,Le champ :attribute ne doit contenir aucun des éléments suivants : :values.,,validation,doesnt_contain,{locale}.php
validation.doesnt_end_with,,,Az :attribute mező nem végződhet a következők egyikével: :values.,Le champ :attribute ne doit pas se terminer par l'un des éléments suivants : :values.,,validation,doesnt_end_with,{locale}.php
validation.doesnt_start_with,,,Az :attribute mező nem kezdődhet a következők egyikével: :values.,Le champ :attribute ne doit pas commencer par l'un des éléments suivants : :values.,,validation,doesnt_start_with,{locale}.php
validation.email,The :attribute must be a valid email address.,,A(z) :attribútumnak érvényes e-mail címnek kell lennie.,L'attribut :attribute doit être une adresse e-mail valide.,,validation,email,{locale}.php
validation.encoding,The :attribute field must be encoded in :encoding.,,Az :attribute mezőt :encoding formátumban kell kódolni.,Le champ :attribute doit être encodé en :encoding.,,validation,encoding,{locale}.php
validation.ends_with,The :attribute must end with one of the following: :values.,,Az :attribute tulajdonságnak a következők egyikével kell végződnie: :values.,L'attribut :attribute doit se terminer par l'une des valeurs suivantes : :values.,,validation,ends_with,{locale}.php
validation.enum,,,A kiválasztott :attribute érvénytelen.,L'attribut sélectionné :attribute est invalide.,,validation,enum,{locale}.php
validation.exists,,,A kiválasztott :attribute érvénytelen.,L'attribut sélectionné :attribute est invalide.,,validation,exists,{locale}.php
validation.extensions,,,Az :attribute mezőnek a következő kiterjesztések egyikével kell rendelkeznie: :values.,Le champ :attribute doit avoir l'une des extensions suivantes : :values.,,validation,extensions,{locale}.php
validation.file,The :attribute must be a file.,,A :attribútumnak egy fájlnak kell lennie.,L'attribut :attribute doit être un fichier.,,validation,file,{locale}.php
validation.filled,,,Az :attribute mezőnek tartalmaznia kell egy értéket.,Le champ :attribute doit avoir une valeur.,,validation,filled,{locale}.php
validation.gt.array,The :attribute must have more than :value items.,,Az :attribute tulajdonságnak több mint :value elemmel kell rendelkeznie.,L'attribut :attribute doit avoir plus d'éléments :value.,,validation,gt.array,{locale}.php
validation.gt.file,The :attribute must be greater than :value kilobytes.,,"A(z) :attribute értékének nagyobbnak kell lennie, mint :value kilobájt.",La valeur de l'attribut (:attribute) doit être supérieure à celle de la valeur (:value) en kilo-octets.,,validation,gt.file,{locale}.php
validation.gt.numeric,The :attribute must be greater than :value.,,"A(z) :attribute értékének nagyobbnak kell lennie, mint a(z) :value érték.",L'attribut :attribute doit être supérieur à :value.,,validation,gt.numeric,{locale}.php
validation.gt.string,,,"A(z) :attribute karakternek nagyobbnak kell lennie, mint :value karakter.",L'attribut doit comporter plus de caractères que la valeur.,,validation,gt.string,{locale}.php
validation.gte.array,The :attribute must have :value items or more.,,A(z) :attribute tulajdonságnak legalább :value elemmel kell rendelkeznie.,L'attribut :attribute doit avoir au moins deux éléments :value.,,validation,gte.array,{locale}.php
validation.gte.file,The :attribute must be greater than or equal :value kilobytes.,,"A(z) :attribute értékének nagyobbnak vagy egyenlőnek kell lennie, mint :value kilobájt.",L'attribut :attribute doit être supérieur ou égal à :value kilobytes.,,validation,gte.file,{locale}.php
validation.gte.numeric,The :attribute must be greater than or equal :value.,,"A(z) :attribute értékének nagyobbnak vagy egyenlőnek kell lennie, mint a :value.",L'attribut :attribute doit être supérieur ou égal à :value.,,validation,gte.numeric,{locale}.php
validation.gte.string,,,"A(z) :attribute karakternek nagyobbnak vagy egyenlőnek kell lennie, mint :value karakter.",L'attribut :attribute doit avoir une valeur supérieure ou égale à :value.,,validation,gte.string,{locale}.php
validation.hex_color,,,Az :attribute mezőnek érvényes hexadecimális színnek kell lennie.,Le champ :attribute doit être une couleur hexadécimale valide.,,validation,hex_color,{locale}.php
validation.image,The :attribute must be an image.,,A(z) :attribútumnak képnek kell lennie.,L'attribut :attribute doit être une image.,,validation,image,{locale}.php
validation.in,,,A kiválasztott :attribute érvénytelen.,L'attribut sélectionné :attribute est invalide.,,validation,in,{locale}.php
validation.in_array,The :attribute field does not exist in :other.,,A(z) :attribute mező nem létezik az :other paraméterben.,Le champ :attribute n'existe pas dans :other.,,validation,in_array,{locale}.php
validation.in_array_keys,,,Az :attribute mezőnek a következő kulcsok közül legalább egyet tartalmaznia kell: :values.,Le champ :attribute doit contenir au moins une des clés suivantes : :values.,,validation,in_array_keys,{locale}.php
validation.integer,The :attribute must be an integer.,,A :attribútumnak egész számnak kell lennie.,L'attribut :attribute doit être un entier.,,validation,integer,{locale}.php
validation.json,The :attribute must be a valid JSON string.,,A(z) :attribute tulajdonságnak érvényes JSON karakterláncnak kell lennie.,L'attribut :attribute doit être une chaîne JSON valide.,,validation,json,{locale}.php
validation.list,,,Az :attribute mezőnek listának kell lennie.,Le champ :attribute doit être une liste.,,validation,list,{locale}.php
validation.lowercase,,,Az :attribute mezőnek kisbetűsnek kell lennie.,Le champ :attribute doit être en minuscules.,,validation,lowercase,{locale}.php
validation.lt.array,The :attribute must have less than :value items.,,"A(z) :attribute tulajdonságnak kevesebb, mint :value elemet kell tartalmaznia.",L'attribut :attribute doit avoir moins d'éléments :value.,,validation,lt.array,{locale}.php
validation.lt.file,The :attribute must be less than :value kilobytes.,,"A(z) :attribute értékének kisebbnek kell lennie, mint :value kilobájt.",L'attribut :attribute doit être inférieur à :value kilobytes.,,validation,lt.file,{locale}.php
validation.lt.numeric,The :attribute must be less than :value.,,"A(z) :attribute értékének kisebbnek kell lennie, mint a(z) :value.",L'attribut :attribute doit être inférieur à la valeur :value.,,validation,lt.numeric,{locale}.php
validation.lt.string,,,"A(z) :attribute karakterszámának kevesebbnek kell lennie, mint :value karakter.",L'attribut :attribute doit contenir moins de caractères que la valeur :value.,,validation,lt.string,{locale}.php
validation.lte.array,The :attribute must not have more than :value items.,,Az :attribute nem tartalmazhat több mint :value elemet.,L'attribut :attribute ne doit pas contenir plus de :value éléments.,,validation,lte.array,{locale}.php
validation.lte.file,The :attribute must be less than or equal :value kilobytes.,,"A(z) :attribute értékének kisebbnek vagy egyenlőnek kell lennie, mint :value kilobájt.",L'attribut :attribute doit être inférieur ou égal à :value kilobytes.,,validation,lte.file,{locale}.php
